29,21,15,14,17,18,27,22,19,23,29,30,28,31,53,34,38,53,42,38,52,118,52,77,232,91,68,77,73,67,98,77,105,131,147,79,99,89,110,97,122,133,307,167,270,184,218,282,474,2283,
23,12,12,14,13,27,19,18,19,17,31,20,71,21,23,21,81,31,24,26,42,29,31,26,52,30,35,46,37,48,39,38,40,110,40,69,46,69,44,79,51,59,55,79,74,60,71,80,82,122,
3,5,12,10,18,21,18,33,25,37,44,44,44,49,64,61,67,69,77,66,92,79,88,96,92,108,107,101,114,110,119,128,124,134,139,141,159,153,158,160,161,172,169,176,180,179,184,189,193,198,
3,1,1,6,5,14,19,17,18,15,19,21,16,23,30,26,25,32,31,35,31,44,47,33,42,37,49,54,49,48,56,52,48,57,61,66,68,73,63,82,76,73,74,81,86,81,83,95,90,93,
